date,district,crop,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,ETo_mm,real_soil_moisture_mm
2015-05-15,Baghpat,None,33.25,0.11,2.64,22.83,6.791075103288717,156.60152435302734
2015-05-16,Baghpat,None,34.01,1.22,1.19,26.78,7.114552946066289,158.9664414525032
2015-05-17,Baghpat,None,34.79,0.0,1.6,27.32,7.259602049477171,147.3598524928093
2015-05-18,Baghpat,None,36.91,0.0,1.52,26.81,7.532484078007439,139.14356231689453
2015-05-19,Baghpat,None,37.85,0.0,2.81,18.29,7.166590975050038,139.9984359741211
2015-05-20,Baghpat,None,36.09,0.48,4.25,27.18,7.456552338032998,137.60090321302414
2015-05-21,Baghpat,None,36.23,0.0,4.21,27.91,7.524080026926357,132.85103291273117
2015-05-22,Baghpat,None,36.88,0.0,3.93,28.57,7.658940153747741,129.4784501194954
2015-05-23,Baghpat,None,36.86,0.0,3.97,26.9,7.570140558319392,127.51292735338211
2015-05-24,Baghpat,None,37.17,0.04,2.45,25.86,7.561054456950736,128.0731201171875
2015-05-25,Baghpat,None,37.44,0.0,2.56,25.01,7.556082947971527,127.54955291748047
2015-05-26,Baghpat,None,36.42,0.0,3.38,26.79,7.52293034886652,125.8214995265007
2015-05-27,Baghpat,None,35.32,0.28,3.33,30.25,7.563180841643549,124.8264268040657
2015-05-28,Baghpat,None,35.25,0.0,2.66,26.19,7.3392516116923785,124.27367717027664
2015-05-29,Baghpat,None,36.64,0.04,2.98,25.58,7.502574675273996,123.95610362291336
2015-05-30,Baghpat,None,36.9,0.0,3.0,27.41,7.647017121156293,123.79246205091476
2015-05-31,Baghpat,None,36.31,0.0,2.33,24.38,7.399275111417363,124.5517686009407
2015-06-01,Baghpat,Rice,35.92,0.33,1.77,16.41,6.886336237506474,41.956521570682526
2015-06-02,Baghpat,Rice,34.27,1.16,1.35,24.41,7.130524007351284,45.77770382165909
2015-06-03,Baghpat,Rice,34.81,0.31,1.28,21.2,7.0288603187070535,46.390342712402344
2015-06-04,Baghpat,Rice,34.99,0.11,1.78,25.86,7.3166869853645915,45.41206508874893
2015-06-05,Baghpat,Rice,35.0,0.51,2.07,27.09,7.388656002952029,44.25239413976669
2015-06-06,Baghpat,Rice,35.28,0.0,2.45,26.81,7.415723827631938,43.29814910888672
2015-06-07,Baghpat,Rice,36.41,0.0,2.4,27.36,7.6072926453242085,42.55466312170029
2015-06-08,Baghpat,Rice,37.98,0.0,2.67,27.42,7.833873082130299,42.00000911951065
2015-06-09,Baghpat,Rice,38.92,0.0,4.25,20.22,7.5373541124548895,41.656494140625
2015-06-10,Baghpat,Rice,36.84,0.0,5.57,23.35,7.4465763441681645,41.47300869226456
2015-06-11,Baghpat,Rice,37.82,0.13,4.6,23.92,7.615651771256464,41.510774195194244
2015-06-12,Baghpat,Rice,37.52,0.0,4.22,25.66,7.677164529533412,41.4915069937706
2015-06-13,Baghpat,Rice,35.46,11.69,2.92,19.52,7.044115650958923,42.595674097537994
2015-06-14,Baghpat,Rice,32.48,6.73,1.88,12.94,6.279282440100461,54.81548309326172
2015-06-15,Baghpat,Rice,33.75,0.0,1.49,20.45,6.872165689238726,61.40708774328232
2015-06-16,Baghpat,Rice,34.3,0.02,1.68,24.57,7.175109513028847,57.93285369873047
2015-06-17,Baghpat,Rice,35.17,0.0,2.05,24.35,7.283133683000033,52.74639129638672
2015-06-18,Baghpat,Rice,36.02,0.63,1.38,24.47,7.407005646482056,48.65913391113281
2015-06-19,Baghpat,Rice,37.16,0.14,1.64,21.42,7.385693458524641,46.21238708496094
2015-06-20,Baghpat,Rice,36.39,2.64,1.9,21.6,7.292430590212374,45.24383693933487
2015-06-21,Baghpat,Rice,35.23,8.84,0.84,18.84,6.976832817064832,46.02184295654297
2015-06-22,Baghpat,Rice,35.52,0.27,0.85,22.92,7.24930514686502,49.44457858800888
2015-06-23,Baghpat,Rice,36.06,2.69,1.35,23.98,7.382162298275537,47.23663330078125
2015-06-24,Baghpat,Rice,34.07,1.85,1.7,18.63,6.809378828506337,67.68207550048828
2015-06-25,Baghpat,Rice,28.59,36.34,1.68,8.8,5.756580459683207,108.48579704761505
2015-06-26,Baghpat,Rice,32.12,0.0,3.49,25.17,6.900349216122878,93.49117577075958
2015-06-27,Baghpat,Rice,33.08,0.44,3.74,23.9,6.963362927389582,83.86020362377167
2015-06-28,Baghpat,Rice,34.18,0.02,2.79,24.31,7.134215044737514,76.15642547607422
